region_name,period_begin,period_end,total_homes_sold,inventory,active_listings,age_of_inventory,median_active_list_price,months_of_supply
"Appling County, GA",2020-04-27,2020-07-19,,1.0,1.0,222.7,136195.8,
"Tooele County, UT",2018-08-27,2018-11-18,325.0,,,,,
"Johnson County, TX",2019-09-23,2019-12-15,577.0,717.0,778.0,63.0,268737.6,17.095582655670402
"Holmes County, OH",2017-10-09,2017-12-31,22.0,52.0,54.0,109.4,115308.3,34.05
"Madison County, FL",2017-01-09,2017-04-02,12.0,54.0,55.0,151.2,158062.5,38.3
"Barry County, MO",2020-11-23,2021-02-14,79.0,70.0,77.0,82.79999999999998,196509.1,13.157870370370372
"Sacramento County, CA",2020-06-22,2020-09-13,5107.0,1729.0,2206.0,27.5,445540.9,5.235793543917673
"Clark County, KY",2019-07-01,2019-09-22,145.0,119.0,130.0,50.8,152850.0,11.700911914882502
"Allendale County, SC",2021-12-06,2022-02-27,5.0,4.0,4.0,44.5,236833.3,4.0
"Neosho County, KS",2018-05-14,2018-08-05,19.0,25.0,26.0,70.5,74787.5,17.453703703703706
"Washington County, MO",2021-11-01,2022-01-23,36.0,35.0,38.0,52.2,104208.3,17.20277777777778
"Lauderdale County, TN",2021-04-05,2021-06-27,39.0,22.0,25.0,32.6,119441.6,11.033730158730158
"Miami County, KS",2017-09-18,2017-12-10,130.0,131.0,142.0,60.7,235316.6,16.476704545454545
"Adams County, WI",2022-02-21,2022-05-15,108.0,102.0,111.0,41.3,205837.0,13.710046897546896
"Hanover County, VA",2021-11-08,2022-01-30,400.0,122.0,148.0,67.5,464357.2,4.961006994643083
"Cocke County, TN",2022-02-21,2022-05-15,31.0,45.0,48.0,41.7,304783.3,21.348484848484848
"Fond du Lac County, WI",2017-04-10,2017-07-02,399.0,526.0,561.0,53.9,136550.0,18.02393737664467
"Washington County, VT",2019-12-02,2020-02-23,135.0,280.0,294.0,119.2,261504.1,39.10625778089014
"DuPage County, IL",2018-07-02,2018-09-23,3582.0,4301.0,4628.0,63.5,372312.7,15.980366787709729
"Garfield County, WA",2019-06-17,2019-09-08,7.0,9.0,10.0,52.7,152666.6,9.333333333333332
